sequence,scene,amount
2019-03-14,sh600173,4.91
2019-03-14,sh600175,2.83
2019-03-14,sh600176,10.63
2019-03-14,sh600177,8.42
2019-03-14,sh600178,5.47
2019-03-14,sh600179,8.08
2019-03-14,sh600180,10.68
2019-03-12,sh600181,0.0
2019-03-14,sh600182,16.8
2019-03-14,sh600183,11.44
2019-03-14,sh600184,12.01
2019-03-14,sh600185,4.87
2019-03-14,sh600186,2.3
2019-03-14,sh600187,4.06
2019-03-14,sh600188,10.35
2019-03-14,sh600189,4.82
2019-03-14,sh600190,3.55
2019-03-14,sh600191,5.48
2019-03-14,sh600192,6.91
2019-03-14,sh600193,4.09
2019-03-14,sh600195,12.65
2019-03-14,sh600196,29.9
2019-03-14,sh600197,17.26
2019-03-14,sh600198,9.99
2019-03-14,sh600199,5.75
2019-03-14,sh600200,8.27
2019-03-14,sh600201,16.72
2019-03-14,sh600202,4.8
2019-03-14,sh600203,6.19
2019-03-12,sh600205,0.0
2019-03-14,sh600206,9.12
2019-03-14,sh600207,5.5
2019-03-14,sh600208,3.84
2019-03-14,sh600209,4.42
2019-03-14,sh600210,4.8
2019-03-14,sh600211,34.26
2019-03-14,sh600212,4.81
2019-03-14,sh600213,7.57
2019-03-14,sh600215,8.98
2019-03-14,sh600216,11.6
2019-03-14,sh600217,5.3
2019-03-14,sh600218,12.1
2019-03-14,sh600219,2.74
2019-03-14,sh600220,3.5
2019-03-14,sh600221,2.25
2019-03-14,sh600222,4.68
2019-03-14,sh600223,3.84
2019-03-14,sh600225,3.83
2019-03-14,sh600226,4.5
2019-03-14,sh600227,4.09
2019-03-14,sh600228,7.73
2019-03-14,sh600229,8.71
2019-03-14,sh600230,19.63
2019-03-14,sh600231,3.33
2019-03-14,sh600232,5.85
2019-03-14,sh600233,13.0
2019-03-14,sh600234,7.58
2019-03-14,sh600235,8.15
2019-03-14,sh600236,5.75
2019-03-14,sh600237,4.63
2019-03-14,sh600238,9.49
2019-03-14,sh600239,3.69
2019-03-14,sh600240,3.35
2019-03-14,sh600241,7.13
2019-03-14,sh600242,14.01
2019-03-14,sh600243,5.31
2019-03-14,sh600246,4.3
2019-03-14,sh600247,5.63
2019-03-14,sh600248,4.61
2019-03-14,sh600249,4.91
2019-03-14,sh600250,8.99
2019-03-14,sh600251,5.88
2019-03-14,sh600252,3.25
2019-03-12,sh600253,0.0
2019-03-14,sh600255,2.63
2019-03-14,sh600256,4.28
2019-03-14,sh600257,5.79
2019-03-14,sh600258,18.38
2019-03-14,sh600259,31.15
2019-03-14,sh600260,23.5
2019-03-14,sh600261,3.83
2019-03-14,sh600262,20.08
2019-03-12,sh600263,0.0
2019-03-14,sh600265,28.59
2019-03-14,sh600266,10.15
2019-03-14,sh600267,11.03
2019-03-14,sh600268,7.17
2019-03-14,sh600269,4.55
2019-03-14,sh600270,0.0
2019-03-14,sh600271,28.5
2019-03-14,sh600272,8.96
2019-03-14,sh600273,10.68
2019-03-14,sh600275,2.93
2019-03-14,sh600276,70.18
2019-03-14,sh600277,6.67
2019-03-14,sh600278,10.73
2019-03-14,sh600279,0.0
2019-03-14,sh600280,4.7
2019-03-14,sh600281,4.15
2019-03-14,sh600282,4.06
2019-03-14,sh600283,13.96
2019-03-14,sh600284,6.93
2019-03-14,sh600285,8.52
2019-03-12,sh600286,0.0
2019-03-14,sh600287,6.15
2019-03-14,sh600288,10.39
2019-03-14,sh600289,2.75
2019-03-14,sh600290,6.55
2019-03-14,sh600291,14.25
2019-03-14,sh600292,6.3
2019-03-14,sh600293,5.13
2019-03-14,sh600295,9.21
2019-03-12,sh600296,0.0
2019-03-14,sh600297,4.92
2019-03-14,sh600298,26.88
2019-03-14,sh600299,12.25
2019-03-14,sh600300,3.36
2019-03-14,sh600301,6.92
2019-03-14,sh600302,6.03
2019-03-14,sh600303,4.51
2019-03-14,sh600305,11.63
2019-03-14,sh600306,7.35
2019-03-14,sh600307,2.35
2019-03-14,sh600308,4.99
2019-03-14,sh600309,38.21
2019-03-14,sh600310,5.31
2019-03-14,sh600311,3.88
2019-03-14,sh600312,9.13
2019-03-14,sh600313,2.89
2019-03-14,sh600315,32.5
2019-03-14,sh600316,14.27
2019-03-14,sh600317,2.79
2019-03-14,sh600318,9.4
2019-03-14,sh600319,5.48
2019-03-14,sh600320,3.98
2019-03-14,sh600321,2.68
2019-03-14,sh600322,3.63
2019-03-14,sh600323,16.66
2019-03-14,sh600325,7.75
2019-03-14,sh600326,7.91
2019-03-14,sh600327,4.96
2019-03-14,sh600328,8.16
2019-03-14,sh600329,14.8
2019-03-14,sh600330,8.03
2019-03-14,sh600331,3.55
2019-03-14,sh600332,36.62
2019-03-14,sh600333,5.88
2019-03-14,sh600335,8.0
2019-03-14,sh600336,4.5
2019-03-14,sh600337,4.95
2019-03-14,sh600338,24.2
2019-03-14,sh600339,4.5
2019-03-14,sh600340,29.85
2019-03-14,sh600343,10.9
2019-03-14,sh600345,0.0
2019-03-14,sh600346,15.08
2019-03-14,sh600348,5.86
2019-03-14,sh600350,4.9
2019-03-14,sh600351,7.7
2019-03-14,sh600352,10.96
2019-03-14,sh600353,5.66
2019-03-14,sh600354,4.55
2019-03-14,sh600355,4.9
2019-03-14,sh600356,9.15
2019-03-12,sh600357,0.0
2019-03-14,sh600358,4.52
2019-03-14,sh600359,5.03
2019-03-14,sh600360,6.95
2019-03-14,sh600361,4.42
2019-03-14,sh600362,15.64
2019-03-14,sh600363,10.9
2019-03-14,sh600365,4.57
2019-03-14,sh600366,6.76
2019-03-14,sh600367,8.74
2019-03-14,sh600368,3.57
2019-03-14,sh600369,5.31
2019-03-14,sh600370,3.45
2019-03-14,sh600371,8.26
2019-03-14,sh600372,17.65
2019-03-14,sh600373,16.2
2019-03-14,sh600375,6.8
2019-03-14,sh600376,9.21
2019-03-14,sh600377,9.7
2019-03-14,sh600378,10.6
2019-03-14,sh600379,8.34
2019-03-14,sh600380,9.12
2019-03-14,sh600381,6.88
2019-03-14,sh600382,8.9
2019-03-14,sh600383,12.25
2019-03-14,sh600385,10.96
2019-03-14,sh600386,5.05
2019-03-14,sh600387,10.49
2019-03-14,sh600388,12.79
2019-03-14,sh600389,18.0
2019-03-14,sh600390,10.47
2019-03-14,sh600391,18.0
2019-03-14,sh600392,11.8
2019-03-14,sh600393,2.87
2019-03-14,sh600395,5.54
2019-03-14,sh600396,2.78
2019-03-14,sh600397,2.62
2019-03-14,sh600398,9.53
2019-03-14,sh600399,3.6
2019-03-14,sh600400,4.55
2019-03-14,sh600401,0.0
2019-03-14,sh600403,4.4
2019-03-14,sh600405,5.65
2019-03-14,sh600406,23.0
2019-03-14,sh600408,3.95
2019-03-14,sh600409,6.72
2019-03-14,sh600410,8.44
2019-03-14,sh600415,4.66
2019-03-14,sh600416,7.31
2019-03-14,sh600418,5.26
2019-03-14,sh600419,16.6
2019-03-14,sh600420,9.95
2019-03-14,sh600421,11.03
2019-03-14,sh600422,9.95
2019-03-14,sh600423,3.8
2019-03-14,sh600425,4.75
2019-03-14,sh600426,13.79
2019-03-14,sh600428,4.0
2019-03-14,sh600429,5.73
2019-03-14,sh600432,0.0
2019-03-14,sh600433,4.41
2019-03-14,sh600435,10.21
2019-03-14,sh600436,102.54
2019-03-14,sh600438,12.6
2019-03-14,sh600439,3.71
2019-03-14,sh600444,11.07
2019-03-14,sh600446,21.12
2019-03-14,sh600448,7.13
2019-03-14,sh600449,8.99
2019-03-14,sh600452,23.25
2019-03-14,sh600455,25.8
2019-03-14,sh600456,21.33
2019-03-14,sh600458,8.95
2019-03-14,sh600459,15.09
2019-03-14,sh600460,15.5
2019-03-14,sh600461,6.05
2019-03-14,sh600462,2.28
2019-03-14,sh600463,8.74
2019-03-14,sh600466,6.78
2019-03-14,sh600467,3.08
2019-03-14,sh600468,6.46
2019-03-14,sh600469,4.69
2019-03-14,sh600470,4.51
2019-03-12,sh600472,0.0
2019-03-14,sh600475,10.4
2019-03-14,sh600476,15.0
2019-03-14,sh600477,4.88
2019-03-14,sh600478,5.24
2019-03-14,sh600479,9.48
2019-03-14,sh600480,10.05
2019-03-14,sh600481,4.9
2019-03-14,sh600482,24.01
2019-03-14,sh600483,9.3
2019-03-14,sh600485,0.0
2019-03-14,sh600486,49.13
2019-03-14,sh600487,21.8
2019-03-14,sh600488,4.58
2019-03-14,sh600489,8.59
2019-03-14,sh600490,5.92
2019-03-14,sh600491,8.25
2019-03-14,sh600493,6.97
2019-03-14,sh600495,5.3
2019-03-14,sh600496,3.3
2019-03-14,sh600497,5.3
2019-03-14,sh600498,31.6
2019-03-14,sh600499,5.82
2019-03-14,sh600500,7.85
2019-03-14,sh600501,8.35
2019-03-14,sh600502,4.47
2019-03-14,sh600503,4.75
2019-03-14,sh600505,7.11
2019-03-14,sh600506,11.9
2019-03-14,sh600507,14.39
2019-03-14,sh600508,10.88
2019-03-14,sh600509,4.73
2019-03-14,sh600510,6.55
2019-03-14,sh600511,24.88
2019-03-14,sh600512,2.85
2019-03-14,sh600513,7.53
2019-03-14,sh600515,6.03
2019-03-14,sh600516,23.18
2019-03-14,sh600517,4.89
2019-03-14,sh600518,10.22
2019-03-14,sh600519,757.0
2019-03-14,sh600520,15.15
2019-03-14,sh600521,14.57
2019-03-14,sh600522,10.05
2019-03-14,sh600523,11.5
2019-03-14,sh600525,6.93
2019-03-14,sh600526,5.78
2019-03-14,sh600527,2.63
